file,attribute_label,single_instruction,single_answer,multi_instruction,multi_answer
1078_IEO_ANG_HI.wav,angry,What is the emotional tone of the speaker in the audio? (a) disgust (b) fear (c) sad (d) angry, (d) angry,"Which sentence best matches the emotional state of others with the same emotion expressed in the audio? (a) This is terrifying, I can’t stop thinking about it. (b) I can’t believe this is happening, I’m so furious! (c) This thing looks absolutely gross and dirty; I can’t stand it! (d) I can’t stop smiling, everything feels so right.","(b) I can’t believe this is happening, I’m so furious!"
1004_IEO_ANG_HI.wav,angry,What emotion is the speaker expressing in the audio? (a) disgust (b) angry (c) fear (d) sad, (b) angry,"Based on the emotion conveyed by the speaker in the audio, which of the following social interactions would be the most suitable response? (a) Suggest an activity to keep the positive energy flowing. (b) Reassure them and offer a way to move past the uncomfortable    situation. (c) Provide emotional support and avoid dismissing their sadness. (d) Calmly acknowledge their frustration and suggest a solution.",(d) Calmly acknowledge their frustration and suggest a solution.
1023_ITS_ANG_XX.wav,angry,What is the emotional tone of the speaker in the audio? (a) happy (b) sad (c) fear (d) angry, (d) angry,"Which sentence most accurately reflects how people feeling the same emotion as the speaker might express themselves? (a) I’m so excited, I just can’t contain my happiness! (b) It’s hard to imagine things ever getting better. (c) I feel like I’m in danger, and I don’t know what to do. (d) Stop making excuses; this is entirely your fault!",(d) Stop making excuses; this is entirely your fault!
1077_WSI_ANG_XX.wav,angry,"Considering a provided audio clip, can you determine the emotional state expressed by the speaker in the recording? (a) happy (b) sad (c) fear (d) angry", (d) angry,"Based on the emotion identified in the audio, Which social interaction would be most appropriate as a response ? (a) Celebrate their joy with a cheerful response. (b) Offer reassurance and remind them they are safe. (c) Express understanding calmly and suggest leaving the unpleasant environment. (d) Listen attentively without interrupting to let them vent.",(d) Listen attentively without interrupting to let them vent.
1006_TAI_ANG_XX.wav,angry,"Using the provided audio clip as input, how would you interpret or classify the speaker's underlying emotions? (a) disgust (b) fear (c) angry (d) happy", (c) angry,"Based on the emotion conveyed by the speaker in the audio, which of the following social interactions would be the most suitable response? (a) Apologize for their discomfort and change the topic to avoid making them more uncomfortable. (b) Calmly acknowledge their frustration and suggest a solution. (c) Offer a comforting hug or words of reassurance. (d) Encourage them to take deep breaths to relax.",(b) Calmly acknowledge their frustration and suggest a solution.
1066_IWL_ANG_XX.wav,angry,"Considering a provided audio clip, can you determine the emotional state expressed by the speaker in the recording? (a) fear (b) sad (c) happy (d) angry", (d) angry,"Given the emotion the speaker expressed in the audio, which social interaction is the most appropriate response? (a) Suggest spending some time together to cheer them up. (b) Apologize for their discomfort and change the topic to avoid making them more uncomfortable. (c) Encourage them to take deep breaths to relax. (d) Calmly acknowledge their frustration and suggest a solution.",(d) Calmly acknowledge their frustration and suggest a solution.
1031_MTI_ANG_XX.wav,angry,What emotional tone or feeling is conveyed by the speaker in the given audio file based on their vocal cues? (a) fear (b) sad (c) angry (d) happy, (c) angry,"From the listed facial expressions, which do you think is the most accurate representation of the emotion heard in the audio? (a) A sharp, piercing gaze and compressed lips (b) Squinted eyes and a pinched nose (c) A heavy sigh with a frown and slumped posture (d) Relaxed facial muscles with a cheerful grin","(a) A sharp, piercing gaze and compressed lips"
1013_IWL_ANG_XX.wav,angry,What emotional tone or feeling is conveyed by the speaker in the given audio file based on their vocal cues? (a) happy (b) disgust (c) angry (d) fear, (c) angry,"Which sentence best matches the emotional state of others with the same emotion expressed in the audio? (a) This situation is really starting to piss me off! (b) I’m just so happy I could burst! (c) I feel so empty, like nothing matters anymore. (d) I feel like I’m in danger, and I don’t know what to do.",(a) This situation is really starting to piss me off!
1017_IOM_ANG_XX.wav,angry,"From the available audio recording, can you analyze and identify the emotion being expressed by the speaker? (a) fear (b) happy (c) angry (d) disgust", (c) angry,"Considering the emotion communicated in this speech, which of these scenarios aligns most closely with the speaker's emotional state? (a) Laughing at a funny joke in a conversation. (b) Reacting to a sudden loud noise in an empty house. (c) Throwing an object in frustration. (d) Reading a heartfelt goodbye letter.",(c) Throwing an object in frustration.
1056_TSI_ANG_XX.wav,angry,Can you identify the speaker's emotion from this clip? (a) happy (b) angry (c) disgust (d) fear, (b) angry,"From the listed facial expressions, which do you think is the most accurate representation of the emotion heard in the audio? (a) A heavy sigh with a frown and slumped posture (b) Relaxed facial muscles with a cheerful grin (c) Raised eyebrows with a scowl (d) Head slightly pulled back with a terrified gaze, as if searching for an escape.",(c) Raised eyebrows with a scowl
1055_WSI_ANG_XX.wav,angry,What emotion is the speaker expressing in the audio? (a) sad (b) angry (c) disgust (d) fear, (b) angry,"Which sentence best matches the emotional state of others with the same emotion expressed in the audio? (a) I feel so grateful and full of joy right now. (b) Stop making excuses; this is entirely your fault! (c) I can’t even look at this without feeling uncomfortable. (d) I’m feeling so down, like nothing can lift my spirits.",(b) Stop making excuses; this is entirely your fault!
1044_IEO_ANG_HI.wav,angry,What emotion is the speaker expressing in the audio? (a) disgust (b) angry (c) fear (d) sad, (b) angry,Which sentence most accurately reflects how people feeling the same emotion as the speaker might express themselves? (a) This situation is really starting to piss me off! (b) This makes me feel sick to my stomach. (c) I’m really scared about what might happen next. (d) I’m just so happy I could burst!,(a) This situation is really starting to piss me off!
1056_ITH_ANG_XX.wav,angry,"Considering a provided audio clip, can you determine the emotional state expressed by the speaker in the recording? (a) happy (b) sad (c) fear (d) angry", (d) angry,Which of the following scenarios do you think best matches the speaker's emotion conveyed in this speech? (a) A person yelling after being cut off in traffic. (b) Winning a long-anticipated award or prize. (c) Reacting to a foul odor in a room. (d) Reacting to a sudden loud noise in an empty house.,(a) A person yelling after being cut off in traffic.
1073_IOM_ANG_XX.wav,angry,Can you identify the speaker's emotion from this clip? (a) disgust (b) sad (c) angry (d) fear, (c) angry,Which of the following scenarios do you think best matches the speaker's emotion conveyed in this speech? (a) Saying goodbye at an airport. (b) Walking alone in a dark alley at night. (c) Winning a long-anticipated award or prize. (d) Slamming a door after a disagreement.,(d) Slamming a door after a disagreement.
1044_TAI_ANG_XX.wav,angry,"Considering a provided audio clip, can you determine the emotional state expressed by the speaker in the recording? (a) disgust (b) happy (c) sad (d) angry", (d) angry,Which sentence would people feeling the same emotion most likely to say? (a) This makes me feel sick to my stomach. (b) I’m just so happy I could burst! (c) I can’t shake the feeling that something bad is coming. (d) Stop making excuses; this is entirely your fault!,(d) Stop making excuses; this is entirely your fault!
1087_IOM_ANG_XX.wav,angry,Can you identify the speaker's emotion from this clip? (a) sad (b) angry (c) disgust (d) happy, (b) angry,"Which sentence best matches the emotional state of others with the same emotion expressed in the audio? (a) It’s so dirty! Please clean it as quick as possible. (b) I’m just so happy I could burst! (c) I can’t believe this is happening, I’m so furious! (d) I just can’t stop thinking about all those bad memories.","(c) I can’t believe this is happening, I’m so furious!"
1008_IWW_ANG_XX.wav,angry,"From the available audio recording, can you analyze and identify the emotion being expressed by the speaker? (a) angry (b) sad (c) happy (d) fear", (a) angry,"Which sentence would people feeling the same emotion most likely to say? (a) I’m really scared about what might happen next. (b) I’ve had enough of this nonsense. (c) I don’t know how to move on from this loss. (d) I can’t stop smiling, everything feels so right.",(b) I’ve had enough of this nonsense.
1066_DFA_ANG_XX.wav,angry,"Considering a provided audio clip, can you determine the emotional state expressed by the speaker in the recording? (a) sad (b) angry (c) fear (d) disgust", (b) angry,Which of the following scenarios do you think best matches the speaker's emotion conveyed in this speech? (a) Hugging a loved one after a long separation. (b) Saying goodbye at an airport. (c) Facing an aggressive dog on the street. (d) A heated argument between colleagues.,(d) A heated argument between colleagues.
1085_DFA_ANG_XX.wav,angry,What emotion is the speaker expressing in the audio? (a) happy (b) sad (c) disgust (d) angry, (d) angry,What scenario best aligns with the speaker's emotion identified in this speech? (a) Watching a horror movie alone in the dark. (b) Watching a touching but sorrowful movie scene. (c) A person yelling after being cut off in traffic. (d) Winning a long-anticipated award or prize.,(c) A person yelling after being cut off in traffic.
1035_DFA_ANG_XX.wav,angry,"Considering a provided audio clip, can you determine the emotional state expressed by the speaker in the recording? (a) sad (b) disgust (c) happy (d) angry", (d) angry,Which situation best corresponds to the emotion conveyed in the speech? (a) Slamming a door after a disagreement. (b) Rejecting a tasteless meal with a grimace. (c) Walking alone in a dark alley at night. (d) Saying goodbye at an airport.,(a) Slamming a door after a disagreement.
1070_TSI_ANG_XX.wav,angry,How does the speaker feel in the recording? (a) angry (b) sad (c) happy (d) disgust, (a) angry,Which facial expression best matches the emotion in the audio? (a) Tightly pressed lips with glaring eyes (b) Wrinkled forehead and a forlorn expression (c) Averted gaze with a grimacing mouth (d) Eyes crinkling with an open-mouthed laugh,(a) Tightly pressed lips with glaring eyes
1021_MTI_ANG_XX.wav,angry,What is the emotional tone of the speaker in the audio? (a) sad (b) fear (c) angry (d) happy, (c) angry,"Considering the speaker's emotion, which sentence would best represent the feelings of others who are experiencing the same emotion? (a) This is the best day ever, I feel on top of the world! (b) I can’t believe this is happening, I’m so furious! (c) This makes me feel sick to my stomach. (d) I’m really scared about what might happen next.","(b) I can’t believe this is happening, I’m so furious!"
1053_MTI_ANG_XX.wav,angry,"From the available audio recording, can you analyze and identify the emotion being expressed by the speaker? (a) sad (b) fear (c) angry (d) happy", (c) angry,What facial expression most aligns with the emotion in the recording? (a) Wrinkled forehead and a forlorn expression (b) Raised eyebrows with a scowl (c) Squinted eyes and a pinched nose (d) A radiant expression with raised cheeks,(b) Raised eyebrows with a scowl
1080_MTI_ANG_XX.wav,angry,How does the speaker feel in the recording? (a) fear (b) disgust (c) angry (d) sad, (c) angry,Which of the following scenarios do you think best matches the speaker's emotion conveyed in this speech? (a) Walking alone in a dark alley at night. (b) Turning away from spoiled food. (c) Slamming a door after a disagreement. (d) A person smiling after receiving good news.,(c) Slamming a door after a disagreement.
1075_IWL_ANG_XX.wav,angry,Can you identify the speaker's emotion from this clip? (a) happy (b) disgust (c) angry (d) sad, (c) angry,"Which facial expression best matches the emotion in the audio? (a) Eyes gazing downward with trembling lips (b) A sharp, piercing gaze and compressed lips (c) Squinted eyes and a pinched nose (d) Wide-open eyes with raised eyebrows and slightly parted lips.","(b) A sharp, piercing gaze and compressed lips"
1068_IWW_ANG_XX.wav,angry,Can you identify the speaker's emotion from this clip? (a) sad (b) disgust (c) fear (d) angry, (d) angry,"Based on the emotion conveyed by the speaker in the audio, which of the following social interactions would be the most suitable response? (a) Smile and engage positively in the conversation. (b) Provide emotional support and avoid dismissing their sadness. (c) Give them space to cool off before engaging further. (d) Stay calm and provide support to ease their anxiety.",(c) Give them space to cool off before engaging further.
1080_IOM_ANG_XX.wav,angry,"Using the provided audio clip as input, how would you interpret or classify the speaker's underlying emotions? (a) sad (b) disgust (c) fear (d) angry", (d) angry,Which situation best corresponds to the emotion conveyed in the speech? (a) Slamming a door after a disagreement. (b) Reading a heartfelt goodbye letter. (c) Hearing a shocking and offensive statement. (d) Winning a long-anticipated award or prize.,(a) Slamming a door after a disagreement.
