file,attribute_label,single_instruction,single_answer,multi_instruction,multi_answer
en_test_0_common_voice_en_22335218.wav,female,Please identify the gender of the speaker. (a) Female (b) Male,(a) Female,Which of the following terms of address is most appropriate for individuals of the same gender as this speaker? (a) Ms. (b) Mr.,(a) Ms.
en_test_0_common_voice_en_37976442.wav,female,What is the speaker's gender in this audio? (a) Female (b) Male,(a) Female,"Taking into account the gender of the speaker, which label best aligns with how individuals of the same gender as the speaker in the audio would typically be addressed? (a) Sir (b) Madam",(b) Madam
en_test_0_common_voice_en_31266588.wav,female,Classify the speaker's voice into one of the following gender categories. (a) Female (b) Male,(a) Female,Which label fits best for individuals of the same gender as the speaker? (a) Mother (b) Father,(a) Mother
en_test_0_common_voice_en_36016278.wav,female,Identify the speaker's gender. (a) Female (b) Male,(a) Female,Which terms of address is most accurate for individuals of the same gender as the speaker? (a) Uncle (b) Aunt,(b) Aunt
en_test_0_common_voice_en_19954794.wav,female,"From the provided audio recording, recognize the speaker's gender. (a) Female (b) Male",(a) Female,Which label fits best for individuals of the same gender as the speaker? (a) Aunt (b) Uncle,(a) Aunt
en_test_0_common_voice_en_18395139.wav,female,Listen carefully to the provided audio clip and identify the gender of the speaker. Select the option that best represents the speaker’s gender based on your perception. (a) Female (b) Male,(a) Female,Which terms of address is most accurate for individuals of the same gender as the speaker? (a) Brother (b) Sister,(b) Sister
en_test_0_common_voice_en_39645706.wav,female,Determine the speaker’s gender in this audio recording. Pay attention to vocal characteristics that might help in categorizing the speaker into one of these two options. Select your choice from the following options. (a) Female (b) Male,(a) Female,Focusing on the gender of the speaker and answer this question: which of the following terms of address or designations is most appropriate for individuals of the same gender as the speaker? (a) Mother (b) Father,(a) Mother
en_test_0_common_voice_en_19489627.wav,female,The following task requires you to classify the gender of the speaker in the provided audio clip. Analyze the speaker’s vocal traits and select the option that aligns with your judgment. (a) Female (b) Male,(a) Female,"Taking into account the gender of the speaker, which label best aligns with how individuals of the same gender as the speaker in the audio would typically be addressed? (a) Mr. (b) Ms.",(b) Ms.
en_test_0_common_voice_en_19704669.wav,female,Your task is to determine the gender of the speaker in the audio clip provided. Please identify the speaker's gender and select the option that you believe is most accurate. (a) Female (b) Male,(a) Female,"Taking into account the gender of the speaker, which label best aligns with how individuals of the same gender as the speaker in the audio would typically be addressed? (a) Madam (b) Sir",(a) Madam
en_test_0_common_voice_en_18854899.wav,female,"In this task, you will listen to a short audio clip and identify the speaker's gender. Select the option that best fits your opinion. (a) Female (b) Male",(a) Female,Which terms of address is most accurate for individuals of the same gender as the speaker? (a) Sir (b) Madam,(b) Madam
en_test_0_common_voice_en_36016276.wav,female,Please identify the gender of the speaker. (a) Female (b) Male,(a) Female,Focusing on the gender of the speaker and answer this question: which of the following terms of address or designations is most appropriate for individuals of the same gender as the speaker? (a) Lady (b) Gentleman,(a) Lady
en_test_0_common_voice_en_106966.wav,female,What is the speaker's gender in this audio? (a) Female (b) Male,(a) Female,Please focus on the speaker’s gender. Which terms of address would be the most accurate for individuals of the same gender as the speaker? (a) Mr. (b) Ms.,(b) Ms.
en_test_0_common_voice_en_19935427.wav,female,Classify the speaker's voice into one of the following gender categories. (a) Female (b) Male,(a) Female,Which terms of address is most accurate for individuals of the same gender as the speaker? (a) Sister (b) Brother,(a) Sister
en_test_0_common_voice_en_19935040.wav,female,Identify the speaker's gender. (a) Female (b) Male,(a) Female,Which terms of address is most accurate for individuals of the same gender as the speaker? (a) Gentleman (b) Lady,(b) Lady
en_test_0_common_voice_en_627541.wav,female,"From the provided audio recording, recognize the speaker's gender. (a) Female (b) Male",(a) Female,Please focus on the speaker’s gender. Which terms of address would be the most accurate for individuals of the same gender as the speaker? (a) Sister (b) Brother,(a) Sister
en_test_0_common_voice_en_17473365.wav,female,Listen carefully to the provided audio clip and identify the gender of the speaker. Select the option that best represents the speaker’s gender based on your perception. (a) Female (b) Male,(a) Female,Which terms of address is most accurate for individuals of the same gender as the speaker? (a) Gentleman (b) Lady,(b) Lady
en_test_0_common_voice_en_39990821.wav,female,Determine the speaker’s gender in this audio recording. Pay attention to vocal characteristics that might help in categorizing the speaker into one of these two options. Select your choice from the following options. (a) Female (b) Male,(a) Female,Which of the following terms of address is most appropriate for individuals of the same gender as this speaker? (a) Madam (b) Sir,(a) Madam
en_test_0_common_voice_en_38849850.wav,female,The following task requires you to classify the gender of the speaker in the provided audio clip. Analyze the speaker’s vocal traits and select the option that aligns with your judgment. (a) Female (b) Male,(a) Female,Which of the following options would be the most appropriate term of address for people sharing the same gender as the speaker? (a) Father (b) Mother,(b) Mother
en_test_0_common_voice_en_25619619.wav,female,Your task is to determine the gender of the speaker in the audio clip provided. Please identify the speaker's gender and select the option that you believe is most accurate. (a) Female (b) Male,(a) Female,Which of the following options would be the most appropriate term of address for people sharing the same gender as the speaker? (a) Sister (b) Brother,(a) Sister
en_test_0_common_voice_en_19696555.wav,female,"In this task, you will listen to a short audio clip and identify the speaker's gender. Select the option that best fits your opinion. (a) Female (b) Male",(a) Female,Which of the following options would be the most appropriate term of address for people sharing the same gender as the speaker? (a) Gentleman (b) Lady,(b) Lady
en_test_0_common_voice_en_17960994.wav,female,Please identify the gender of the speaker. (a) Female (b) Male,(a) Female,Which terms of address fits individuals of the same gender as the speaker? (a) Sister (b) Brother,(a) Sister
en_test_0_common_voice_en_31671570.wav,female,What is the speaker's gender in this audio? (a) Female (b) Male,(a) Female,Which terms of address is most accurate for individuals of the same gender as the speaker? (a) Father (b) Mother,(b) Mother
en_test_0_common_voice_en_19524811.wav,female,Classify the speaker's voice into one of the following gender categories. (a) Female (b) Male,(a) Female,Focusing on the gender of the speaker and answer this question: which of the following terms of address or designations is most appropriate for individuals of the same gender as the speaker? (a) Madam (b) Sir,(a) Madam
en_test_0_common_voice_en_31693756.wav,female,Identify the speaker's gender. (a) Female (b) Male,(a) Female,Which terms of address fits individuals of the same gender as the speaker? (a) Brother (b) Sister,(b) Sister
en_test_0_common_voice_en_18979306.wav,female,"From the provided audio recording, recognize the speaker's gender. (a) Female (b) Male",(a) Female,"Taking into account the gender of the speaker, which label best aligns with how individuals of the same gender as the speaker in the audio would typically be addressed? (a) Madam (b) Sir",(a) Madam
en_test_0_common_voice_en_19735675.wav,female,Listen carefully to the provided audio clip and identify the gender of the speaker. Select the option that best represents the speaker’s gender based on your perception. (a) Female (b) Male,(a) Female,Which of the following terms of address is most appropriate for individuals of the same gender as this speaker? (a) Uncle (b) Aunt,(b) Aunt
en_test_0_common_voice_en_21730660.wav,female,Determine the speaker’s gender in this audio recording. Pay attention to vocal characteristics that might help in categorizing the speaker into one of these two options. Select your choice from the following options. (a) Female (b) Male,(a) Female,Please focus on the speaker’s gender. Which terms of address would be the most accurate for individuals of the same gender as the speaker? (a) Ms. (b) Mr.,(a) Ms.
en_test_0_common_voice_en_17840464.wav,female,The following task requires you to classify the gender of the speaker in the provided audio clip. Analyze the speaker’s vocal traits and select the option that aligns with your judgment. (a) Female (b) Male,(a) Female,Focusing on the gender of the speaker and answer this question: which of the following terms of address or designations is most appropriate for individuals of the same gender as the speaker? (a) Uncle (b) Aunt,(b) Aunt
en_test_0_common_voice_en_35437451.wav,female,Your task is to determine the gender of the speaker in the audio clip provided. Please identify the speaker's gender and select the option that you believe is most accurate. (a) Female (b) Male,(a) Female,Focusing on the gender of the speaker and answer this question: which of the following terms of address or designations is most appropriate for individuals of the same gender as the speaker? (a) Lady (b) Gentleman,(a) Lady
en_test_0_common_voice_en_39747514.wav,female,"In this task, you will listen to a short audio clip and identify the speaker's gender. Select the option that best fits your opinion. (a) Female (b) Male",(a) Female,Which label fits best for individuals of the same gender as the speaker? (a) Sir (b) Madam,(b) Madam
en_test_0_common_voice_en_19984720.wav,female,Please identify the gender of the speaker. (a) Female (b) Male,(a) Female,Which label fits best for individuals of the same gender as the speaker? (a) Ms. (b) Mr.,(a) Ms.
en_test_0_common_voice_en_39022785.wav,female,What is the speaker's gender in this audio? (a) Female (b) Male,(a) Female,Which terms of address is most accurate for individuals of the same gender as the speaker? (a) Mr. (b) Ms.,(b) Ms.
en_test_0_common_voice_en_19937271.wav,female,Classify the speaker's voice into one of the following gender categories. (a) Female (b) Male,(a) Female,Focusing on the gender of the speaker and answer this question: which of the following terms of address or designations is most appropriate for individuals of the same gender as the speaker? (a) Mother (b) Father,(a) Mother
en_test_0_common_voice_en_17426004.wav,female,Identify the speaker's gender. (a) Female (b) Male,(a) Female,Which of the following options would be the most appropriate term of address for people sharing the same gender as the speaker? (a) Father (b) Mother,(b) Mother
en_test_0_common_voice_en_20586173.wav,female,"From the provided audio recording, recognize the speaker's gender. (a) Female (b) Male",(a) Female,"Taking into account the gender of the speaker, which label best aligns with how individuals of the same gender as the speaker in the audio would typically be addressed? (a) Madam (b) Sir",(a) Madam
en_test_0_common_voice_en_31770143.wav,female,Listen carefully to the provided audio clip and identify the gender of the speaker. Select the option that best represents the speaker’s gender based on your perception. (a) Female (b) Male,(a) Female,Please focus on the speaker’s gender. Which terms of address would be the most accurate for individuals of the same gender as the speaker? (a) Uncle (b) Aunt,(b) Aunt
en_test_0_common_voice_en_18707945.wav,female,Determine the speaker’s gender in this audio recording. Pay attention to vocal characteristics that might help in categorizing the speaker into one of these two options. Select your choice from the following options. (a) Female (b) Male,(a) Female,Which terms of address fits individuals of the same gender as the speaker? (a) Sister (b) Brother,(a) Sister
