file,attribute_label,single_instruction,single_answer,multi_instruction,multi_answer
de_test_0_common_voice_de_29193823.wav,German,"Listen to the speech segment, and choose the language spoken by the speaker. (a) Chinese (b) Korean (c) Spanish (d) German",(d) German,"Among the provided ISO language codes, which one most accurately matches the language spoken in the audio sample? (a) zh (b) ko (c) es (d) de",(d) de
de_test_0_common_voice_de_19651907.wav,German,"From the audio provided, which language is spoken? (a) French (b) Italian (c) German (d) Spanish",(c) German,"From the listed countries, which one has the audio's spoken language as an official language? (a) France (b) Italy (c) Germany (d) Mexico",(c) Germany
de_test_0_common_voice_de_17868906.wav,German,Determine the language of the provided speech. (a) English (b) Spanish (c) Italian (d) German,(d) German,"Among the provided cities, which is most likely located in a country with the audio’s language as an official language? (a) London (b) Chihuahua City (c) Florence (d) Berlin",(d) Berlin
de_test_0_common_voice_de_39805524.wav,German,Listen to the audio provided. Which of the following languages best matches the language spoken in the recording? (a) Spanish (b) French (c) Korean (d) German,(d) German,"Among the figures provided, who most likely came from a country that officially recognizes the audio’s language? (a) Eva Perón (b) Léopold Sédar Senghor (c) Kim Gu (d) Hermann Hesse",(d) Hermann Hesse
de_test_0_common_voice_de_19777557.wav,German,Carefully listen to the provided speech clip and evaluate the language spoken by the individual. Select the answer that best represents the language used in the audio. (a) Korean (b) Chinese (c) German (d) Japanese,(c) German,Which test should you take to demonstrate your ability in the audio's language? (a) TOPIK (b) TOCFL (c) Goethe-Zertifikat (d) BJT,(c) Goethe-Zertifikat
de_test_0_common_voice_de_20231703.wav,German,The audio contains a short speech segment spoken in a specific language. Your task is to analyze the audio and determine which of the following languages the speaker is using. (a) German (b) Korean (c) English (d) French,(a) German,"From the listed options, which family includes the audio’s language? (a) Indo-European (b) Koreanic (c) Japonic (d) Sino-Tibetan",(a) Indo-European
de_test_0_common_voice_de_38148421.wav,German,"Listen to the audio carefully, focusing on the speech. Based on your analysis, select the language that the speaker is using from the options provided (a) Korean (b) German (c) French (d) Japanese",(b) German,Which book among the options was composed in its original form in the language heard in this audio? (a) The Vegetarian (b) The Sorrows of Young Werther (c) The Red and the Black (d) Snow Country,(b) The Sorrows of Young Werther
de_test_0_common_voice_de_17499321.wav,German,Please listen to the provided audio clip and select the language spoken by the speaker from the options below. Your task is simply to choose the language that you think matches the speech. (a) German (b) Spanish (c) Korean (d) English,(a) German,"From the listed dishes, which one is associated with a country where the audio's language is spoken? (a) Pretzel (b) Paella (c) Kimchi (d) Cornish Pasty",(a) Pretzel
de_test_0_common_voice_de_18595341.wav,German,Listen to the audio segment provided and identify the language being spoken by the individual. Choose the language from the list below that best fits your perception of the speech.Which of the following languages is the speaker using in the provided audio segment? (a) German (b) Japanese (c) Korean (d) Italian,(a) German,Which of these words is the correct translation of 'prosperity' into the language spoken in the audio? (a) Prosperität (b) prosperidad (c) Armut (d) pobreza,(a) Prosperität
de_test_0_common_voice_de_34297867.wav,German,"Listen to the speech segment, and choose the language spoken by the speaker. (a) Spanish (b) German (c) French (d) Italian",(b) German,"From the given ISO language codes, which one correctly represents the language being spoken in this audio recording? (a) es (b) de (c) fr (d) it",(b) de
